t, x, y, z,fl
1540757900.274,39195,-84805,5905.77508800291,0.000167194234006
1540758217.855,39195,-84805,5905.77508800291,0.000164170082314
1540758538.972,39195,-84805,5906.22508800961,0.000164945032725
1540758857.216,39195,-84805,5906.65008801594,0.000167175159711
1540759174.677,39195,-84805,5906.3250880111,0.000165704566715
1540759492.463,39195,-84805,5906.30008801073,0.000171353005947
1540759810.307,39195,-84805,5906.75008801743,0.000171022079871
1540760128.105,39195,-84805,5906.85008801892,0.000175159187958
1540760447.8,39195,-84805,5906.82508801855,0.000180556968648
1540760765.355,39195,-84805,5907.35008802638,0.000183704373938
1540761084.235,39195,-84805,5907.95008803532,0.000180105782052
1540761403.911,39195,-84805,5907.325088026,0.000186791356514
1540761722.045,39195,-84805,5907.22508802451,0.000189444810793
1540762041.727,39195,-84805,5907.52508802898,0.000192629131502
1540762357.276,39195,-84805,5907.12508802302,0.000193240078639
1540762675.398,39195,-84805,5907.17508802377,0.000191626990185
1540762992.697,39195,-84805,5906.67508801632,0.000197334383449
1540763313.006,39195,-84805,5907.02508802153,0.000200107286969
1540763630.345,39195,-84805,5906.82508801855,0.00019936380434
1540763947.884,39195,-84805,5906.75008801743,0.000203036874007
1540764267.59,39195,-84805,5906.77508801781,0.000209518269354
1540764584.676,39195,-84805,5906.80008801818,0.000208272398293
1540764900.467,39195,-84805,5906.3250880111,0.000209874845835
1540765219.296,39195,-84805,5906.35008801147,0.000208597664692
1540765535.765,39195,-84805,5905.8750880044,0.000216246035594
1540765852.761,39195,-84805,5906.050088007,0.000213508903249
1540766172.933,39195,-84805,5905.85008800402,0.000216876361119
1540766489.676,39195,-84805,5905.85008800402,0.000223553976247
1540766805.171,39195,-84805,5904.87508798949,0.000222536516348
1540767120.312,39195,-84805,5904.85008798912,0.000223093035122
1540767438.979,39195,-84805,5905.0500879921,0.000223241881241
1540767755.513,39195,-84805,5905.02508799173,0.000223931813374
1540768071.48,39195,-84805,5904.50008798391,0.000229041901084
1540768388.527,39195,-84805,5904.95008799061,0.000231279316988
1540768703.284,39195,-84805,5904.45008798316,0.000231044788471
1540769021.612,39195,-84805,5904.02508797683,0.000231531850987
1540769339.651,39195,-84805,5904.42508798279,0.000234442412985
1540769657.831,39195,-84805,5905.10008799285,0.000238215802473
1540769974.413,39195,-84805,5904.42508798279,0.000239628028388
1540770291.736,39195,-84805,5904.75008798763,0.000244609676967
1540770610.825,39195,-84805,5904.775087988,0.000244018661293
1540770926.704,39195,-84805,5904.85008798912,0.000248081085705
1540771241.487,39195,-84805,5904.55008798465,0.000246117627298
1540771558.834,39195,-84805,5905.0500879921,0.000248194492112
1540771876.537,39195,-84805,5904.87508798949,0.000251544433505
1540772191.322,39195,-84805,5904.775087988,0.000253090714338
1540772507.388,39195,-84805,5904.97508799098,0.000253674432678
1540772824.298,39195,-84805,5904.82508798875,0.000255244444131
1540773143.064,39195,-84805,5904.30008798093,0.000254456296186
1540773463.079,39195,-84805,5904.22508797981,0.000252182900865
1540773781.535,39195,-84805,5904.62508798577,0.000260638739334
1540774099.817,39195,-84805,5904.55008798465,0.000260275410131
1540774418.539,39195,-84805,5904.50008798391,0.000257676199449
1540774737.362,39195,-84805,5905.10008799285,0.000263112276582
1540775053.95,39195,-84805,5905.30008799583,0.000261615184369
1540775374.439,39195,-84805,5905.70008800179,0.000263811424249
1540775693.858,39195,-84805,5906.00008800626,0.000264699842516
1540776015.895,39195,-84805,5906.25008800998,0.000262654812446
1540776333.111,39195,-84805,5906.55008801445,0.000263310586179
1540776650.287,39195,-84805,5906.52508801408,0.000268128459026
1540776966.653,39195,-84805,5906.42508801259,0.000266950142844
1540777284.666,39195,-84805,5906.3250880111,0.000267429984253
1540777601.312,39195,-84805,5905.77508800291,0.000268932375293
1540777922.155,39195,-84805,5905.40008799732,0.00027271125079
1540778241.351,39195,-84805,5904.85008798912,0.000273822560329
1540778559.465,39195,-84805,5904.80008798838,0.000277089769273
1540778876.852,39195,-84805,5904.30008798093,0.000276013645905
1540779193.238,39195,-84805,5904.30008798093,0.000278410454172
1540779509.825,39195,-84805,5904.3250879813,0.000282488763594
1540779829.656,39195,-84805,5904.25008798018,0.000284898317885
1540780147.615,39195,-84805,5904.27508798055,0.000288342615807
1540780469.467,39195,-84805,5903.80008797348,0.000291409820634
1540780787.826,39195,-84805,5902.87508795969,0.000291570137849
1540781108.567,39195,-84805,5903.62508797087,0.000293999680564
1540781426.563,39195,-84805,5903.55008796975,0.000296836265874
1540781745.666,39195,-84805,5903.95008797571,0.000295477575533
1540782065.398,39195,-84805,5903.75008797273,0.000296312274799
1540782381.689,39195,-84805,5903.55008796975,0.000297311226351
1540782699.387,39195,-84805,5902.72508795746,0.00030021296146
1540783020.399,39195,-84805,5903.97508797608,0.000299987294663
1540783340.491,39195,-84805,5904.72508798726,0.000301742207924
1540783660.046,39195,-84805,5906.10008800775,0.000304324087659
1540783975.896,39195,-84805,5906.02508800663,0.000305147180845
1540784295.971,39195,-84805,5906.10008800775,0.000307489955673
1540784611.813,39195,-84805,5906.12508800812,0.000306884387921
1540784930.293,39195,-84805,5906.47508801334,0.000309127474587
1540785248.537,39195,-84805,5907.17508802377,0.000309591228456
1540785566.831,39195,-84805,5907.325088026,0.000311527563744
1540785884.671,39195,-84805,5907.77508803271,0.000315304091827
1540786206.048,39195,-84805,5908.30008804053,0.000317220464394
1540786522.039,39195,-84805,5908.22508803941,0.000320395680514
1540786838.541,39195,-84805,5908.3250880409,0.000323377764885
1540787153.265,39195,-84805,5907.85008803383,0.000323319403267
1540787470.852,39195,-84805,5907.25008802488,0.000327855149057
1540787787.172,39195,-84805,5907.75008803234,0.000330132692887
1540788106.79,39195,-84805,5908.30008804053,0.000330441173931
1540788430.155,39195,-84805,5908.65008804575,0.000330971299552
1540788748.164,39195,-84805,5908.20008803904,0.000334822392809
1540789066.841,39195,-84805,5908.42508804239,0.000336945268641
1540789382.39,39195,-84805,5908.35008804128,0.000338520107421
1540789702.199,39195,-84805,5907.50008802861,0.000341141878624
1540790021.714,39195,-84805,5906.47508801334,0.00034018805485
