t,x,y,z,fl
1.542465397522000074e+09,4.468800000000000000e+04,-8.595000000000000000e+04,5.790175086280331016e+03,3.689207586689317917e-06
1.542465712176000118e+09,4.468800000000000000e+04,-8.595000000000000000e+04,5.790150086279958487e+03,3.917610551661903976e-06
1.542466028775000095e+09,4.468800000000000000e+04,-8.595000000000000000e+04,5.790150086279958487e+03,3.737015962299258492e-06
1.542466343875999928e+09,4.468800000000000000e+04,-8.595000000000000000e+04,5.789575086271390319e+03,3.731797756813340423e-06
1.542466662865999937e+09,4.468800000000000000e+04,-8.595000000000000000e+04,5.791500086300075054e+03,3.823482133426604111e-06
1.542466977302000046e+09,4.468800000000000000e+04,-8.595000000000000000e+04,5.791450086299329996e+03,3.797296755263507110e-06
1.542467291434000015e+09,4.468800000000000000e+04,-8.595000000000000000e+04,5.791450086299329996e+03,3.951129388446703624e-06
1.542467607187000036e+09,4.468800000000000000e+04,-8.595000000000000000e+04,5.791425086298957467e+03,3.723169478512871480e-06
1.542467920421999931e+09,4.468800000000000000e+04,-8.595000000000000000e+04,5.790900086291134357e+03,3.963916837363004707e-06
1.542468233308000088e+09,4.468800000000000000e+04,-8.595000000000000000e+04,5.790800086289644241e+03,3.743333969000703561e-06
1.542468550825999975e+09,4.468800000000000000e+04,-8.595000000000000000e+04,5.790825086290016770e+03,3.825116688977947387e-06
1.542468864309000015e+09,4.468800000000000000e+04,-8.595000000000000000e+04,5.790275086281821132e+03,3.866770397682669651e-06
1.542469182723000050e+09,4.468800000000000000e+04,-8.595000000000000000e+04,5.789750086273998022e+03,3.939845751401472868e-06
1.542469498555999994e+09,4.468800000000000000e+04,-8.595000000000000000e+04,5.790400086283683777e+03,3.692045212373206606e-06
1.542469817749000072e+09,4.468800000000000000e+04,-8.595000000000000000e+04,5.789925086276605725e+03,3.838286454659003010e-06
1.542470131262000084e+09,4.468800000000000000e+04,-8.595000000000000000e+04,5.789875086275860667e+03,3.584677013455177406e-06
1.542470450316999912e+09,4.468800000000000000e+04,-8.595000000000000000e+04,5.789850086275488138e+03,3.759778145214417294e-06
1.542470763436000109e+09,4.468800000000000000e+04,-8.595000000000000000e+04,5.789825086275115609e+03,3.659858763971812669e-06
