t, u
1.542445606466000080e+09,0.000000000000000000e+00
1.542445636466000080e+09,0.000000000000000000e+00
1.542445666467000008e+09,0.000000000000000000e+00
1.542445696467999935e+09,0.000000000000000000e+00
1.542445726467999935e+09,0.000000000000000000e+00
1.542445756469000101e+09,0.000000000000000000e+00
1.542445786469000101e+09,0.000000000000000000e+00
1.542445816470000029e+09,0.000000000000000000e+00
1.542445846470000029e+09,0.000000000000000000e+00
1.542445876470999956e+09,0.000000000000000000e+00
1.542445919069000006e+09,0.000000000000000000e+00
1.542445949071000099e+09,0.000000000000000000e+00
1.542445979072000027e+09,0.000000000000000000e+00
1.542446009072000027e+09,0.000000000000000000e+00
1.542446039072999954e+09,0.000000000000000000e+00
1.542446069072999954e+09,0.000000000000000000e+00
1.542446099073999882e+09,0.000000000000000000e+00
1.542446129073999882e+09,0.000000000000000000e+00
1.542446159075000048e+09,0.000000000000000000e+00
1.542446189075999975e+09,0.000000000000000000e+00
1.542446231145999908e+09,0.000000000000000000e+00
1.542446261145999908e+09,0.000000000000000000e+00
1.542446291147000074e+09,0.000000000000000000e+00
1.542446321147000074e+09,0.000000000000000000e+00
1.542446351148000002e+09,0.000000000000000000e+00
1.542446381148999929e+09,0.000000000000000000e+00
1.542446411148999929e+09,0.000000000000000000e+00
1.542446441150000095e+09,0.000000000000000000e+00
1.542446471150000095e+09,0.000000000000000000e+00
1.542446501151000023e+09,0.000000000000000000e+00
1.542446542552999973e+09,0.000000000000000000e+00
1.542446572553999901e+09,0.000000000000000000e+00
1.542446602553999901e+09,0.000000000000000000e+00
1.542446632555000067e+09,0.000000000000000000e+00
1.542446662555000067e+09,0.000000000000000000e+00
1.542446692555999994e+09,0.000000000000000000e+00
1.542446722555999994e+09,0.000000000000000000e+00
1.542446752556999922e+09,0.000000000000000000e+00
1.542446782558000088e+09,0.000000000000000000e+00
1.542446812558000088e+09,0.000000000000000000e+00
1.542446857413000107e+09,0.000000000000000000e+00
1.542446887413000107e+09,0.000000000000000000e+00
1.542446917413000107e+09,0.000000000000000000e+00
1.542446947414000034e+09,0.000000000000000000e+00
1.542446977414999962e+09,0.000000000000000000e+00
1.542447007414999962e+09,0.000000000000000000e+00
1.542447037415999889e+09,0.000000000000000000e+00
1.542447067415999889e+09,0.000000000000000000e+00
1.542447097417000055e+09,0.000000000000000000e+00
1.542447127417000055e+09,0.000000000000000000e+00
1.542447170111999989e+09,0.000000000000000000e+00
1.542447200111999989e+09,0.000000000000000000e+00
1.542447230112999916e+09,0.000000000000000000e+00
1.542447260112999916e+09,0.000000000000000000e+00
1.542447290114000082e+09,0.000000000000000000e+00
1.542447320114000082e+09,0.000000000000000000e+00
1.542447350115000010e+09,0.000000000000000000e+00
1.542447380115999937e+09,0.000000000000000000e+00
1.542447410115999937e+09,0.000000000000000000e+00
1.542447440117000103e+09,0.000000000000000000e+00
1.542447483434000015e+09,0.000000000000000000e+00
1.542447513434000015e+09,0.000000000000000000e+00
1.542447543434999943e+09,0.000000000000000000e+00
1.542447573434999943e+09,0.000000000000000000e+00
1.542447603436000109e+09,0.000000000000000000e+00
1.542447633436000109e+09,0.000000000000000000e+00
1.542447663437000036e+09,0.000000000000000000e+00
1.542447693437999964e+09,0.000000000000000000e+00
1.542447723437999964e+09,0.000000000000000000e+00
1.542447753438999891e+09,0.000000000000000000e+00
1.542447798296000004e+09,0.000000000000000000e+00
1.542447828296000004e+09,0.000000000000000000e+00
1.542447858296999931e+09,0.000000000000000000e+00
1.542447888296999931e+09,0.000000000000000000e+00
1.542447918298000097e+09,0.000000000000000000e+00
1.542447948298000097e+09,0.000000000000000000e+00
1.542447978299000025e+09,0.000000000000000000e+00
1.542448008299999952e+09,0.000000000000000000e+00
1.542448038299999952e+09,0.000000000000000000e+00
1.542448068301000118e+09,0.000000000000000000e+00
1.542448113723000050e+09,0.000000000000000000e+00
1.542448143723000050e+09,0.000000000000000000e+00
1.542448173723999977e+09,0.000000000000000000e+00
1.542448203724999905e+09,0.000000000000000000e+00
1.542448233726999998e+09,0.000000000000000000e+00
1.542448263726999998e+09,0.000000000000000000e+00
1.542448293727999926e+09,0.000000000000000000e+00
1.542448323727999926e+09,0.000000000000000000e+00
1.542448353729000092e+09,0.000000000000000000e+00
1.542448383729000092e+09,0.000000000000000000e+00
1.542448425476999998e+09,0.000000000000000000e+00
1.542448455476999998e+09,0.000000000000000000e+00
1.542448485477999926e+09,0.000000000000000000e+00
1.542448515479000092e+09,0.000000000000000000e+00
1.542448545479000092e+09,0.000000000000000000e+00
1.542448575480000019e+09,0.000000000000000000e+00
1.542448605480000019e+09,0.000000000000000000e+00
1.542448635480999947e+09,0.000000000000000000e+00
1.542448665480999947e+09,0.000000000000000000e+00
1.542448695482000113e+09,0.000000000000000000e+00
1.542448739990000010e+09,0.000000000000000000e+00
1.542448769990000010e+09,0.000000000000000000e+00
1.542448799990999937e+09,0.000000000000000000e+00
1.542448829990999937e+09,0.000000000000000000e+00
1.542448859992000103e+09,0.000000000000000000e+00
1.542448889992000103e+09,0.000000000000000000e+00
1.542448919993000031e+09,0.000000000000000000e+00
1.542448949993999958e+09,0.000000000000000000e+00
1.542448979993999958e+09,0.000000000000000000e+00
1.542449009994999886e+09,0.000000000000000000e+00
1.542449057141000032e+09,0.000000000000000000e+00
1.542449087141000032e+09,0.000000000000000000e+00
1.542449117141999960e+09,0.000000000000000000e+00
1.542449147142999887e+09,0.000000000000000000e+00
1.542449177142999887e+09,0.000000000000000000e+00
1.542449207144000053e+09,0.000000000000000000e+00
1.542449237144000053e+09,0.000000000000000000e+00
1.542449267144999981e+09,0.000000000000000000e+00
1.542449297144999981e+09,0.000000000000000000e+00
1.542449327145999908e+09,0.000000000000000000e+00
1.542449369253999949e+09,0.000000000000000000e+00
1.542449399253999949e+09,0.000000000000000000e+00
1.542449429255000114e+09,0.000000000000000000e+00
1.542449459255000114e+09,0.000000000000000000e+00
1.542449489256000042e+09,0.000000000000000000e+00
1.542449519256000042e+09,0.000000000000000000e+00
1.542449549256999969e+09,0.000000000000000000e+00
1.542449579257999897e+09,0.000000000000000000e+00
